315360000 60000
-2863.3 1389.2 -302.1 986.6
1001.3 1927.1 -2949.0 422.2
1308.2 -2152.3 -625.2 184.6
-412.6 1208.9 85.2 691.2
-1902.2 1189.0 1955.0 836.2
1586.9 -766.0 -1509.8 235.2
-2041.7 414.2 -2952.0 902.7
-624.9 -770.9 -1326.0 558.9
2281.6 717.2 -2705.2 764.3
2377.8 1171.5 -2572.0 529.8
-50.4 -778.9 -2458.9 518.2
-901.8 -724.8 714.7 949.7
-955.5 -904.5 1066.7 242.9
1682.6 1614.7 -1166.4 741.5
2472.3 -2341.2 2534.9 591.7
2437.7 1003.1 -2933.6 323.0
-733.0 2442.4 -1943.8 795.7
1520.8 1781.5 1805.9 513.6
-327.7 -1755.6 2113.4 332.8
1166.8 382.6 1875.7 987.5
1478.9 597.4 1969.8 749.9
-2093.4 246.4 2894.0 376.4
1001.4 -974.9 -1134.8 742.0
-2146.0 -2104.5 -1622.1 677.3
1038.6 -1408.7 -51.4 847.8
988.9 1015.0 1233.2 868.0
-2869.1 263.6 -451.4 755.2
-1174.7 -1102.3 -2146.1 456.2
-2258.0 2086.5 193.1 160.9
528.0 -659.9 2505.9 248.7
681.1 -1691.3 -2349.4 988.9
1744.9 -2474.2 -1635.7 316.6
1269.9 -2272.2 2471.4 939.4
2649.2 -1366.1 -2838.0 194.2
-107.9 1983.2 1190.8 958.1
266.8 969.2 -1973.1 124.0
-182.6 2647.9 505.2 723.2
1126.0 2698.2 2184.7 336.8
-1995.9 -401.5 1993.2 284.8
-1258.7 90.2 -742.7 921.9
396.0 -2656.3 726.8 361.2
-596.4 2220.9 -1224.3 339.1
-2332.6 -1068.9 -113.3 555.9
2094.3 -35.3 104.5 623.1
-134.7 612.4 -2043.4 126.3
-699.3 575.8 -77.6 155.6
-1693.9 -1180.5 2051.4 995.9
452.1 1299.2 982.1 643.9
-177.0 1669.2 -627.7 847.5
34.2 2939.3 -2188.3 427.4
45.0 -88.7 -602.3 782.0
-1059.2 196.0 -1733.1 651.9
-2326.9 1076.8 -1096.5 871.4
-1113.6 -2499.0 1998.6 935.1
-2604.7 -2351.2 253.9 564.6
-2168.4 -445.2 -2041.9 792.0
-1475.9 -1104.0 -2201.1 812.0
-2124.0 2151.6 1530.2 656.0
2307.2 120.6 812.2 723.3
-2315.1 608.6 1194.8 417.4
2593.3 -1776.5 2837.7 164.1
2044.3 1569.9 -519.2 670.7
-226.8 -1457.3 -1591.0 845.1
-1847.8 1126.2 -2035.5 497.2
-1486.6 799.8 -2178.8 169.7
1922.8 229.0 -2234.2 179.5
-478.1 1419.5 624.4 195.0
-1235.5 2522.7 2791.2 516.8
2295.9 2392.4 -1937.4 848.9
2214.0 1204.7 -2657.2 307.3
1906.8 1396.9 1194.5 737.9
-2742.8 1323.0 -2312.2 667.8
1101.9 990.3 -1413.8 753.9
2009.7 -1058.1 -2910.6 297.2
-1428.7 86.2 -2495.1 407.5
-2573.9 -385.2 -694.8 659.4
604.1 -2625.6 2309.8 494.9
-2796.7 1500.5 2599.5 534.3
222.1 -2535.6 -1884.8 328.5
-1661.5 -2033.0 15.5 936.8
1050.6 1880.4 -2196.7 793.4
-2886.1 2051.2 -963.7 386.9
2077.0 -1609.0 499.6 547.6
-1702.9 -2222.5 -1725.2 806.8
1576.5 -2489.2 -819.5 235.6
-1576.7 -1781.1 1856.9 630.0
-2567.9 -1109.2 -2776.5 337.9
-418.6 -2847.9 2848.5 181.8
548.3 1613.6 1940.7 570.2
2825.5 -1377.0 -1191.1 720.8
1095.6 -1237.5 451.5 605.6
-600.7 -1314.2 -54.9 570.6
-2673.1 330.1 -582.9 376.8
828.7 -88.3 -2986.1 528.9
-2439.5 1491.9 -1051.6 860.4
-1092.7 2742.8 -834.2 906.6
639.5 -2281.2 1249.3 286.9
-593.7 1765.3 2648.8 678.2
2608.2 -2773.2 -1500.6 315.7
2777.2 2880.1 496.6 660.9
